Country_encoded,EdLevel_encoded,YearsCodePro,Employment_encoded,Salary
151,0,8.0,0,92000.0
28,1,4.0,2,105884.0
151,1,3.0,0,80000.0
151,0,34.0,0,113000.0
28,0,20.0,0,90758.0
28,0,3.0,0,62774.0
151,0,10.0,0,300000.0
151,0,4.0,0,100000.0
151,1,21.0,0,95000.0
28,0,5.0,0,60505.0
28,2,8.0,0,71093.0
151,2,3.0,0,2000000.0
60,0,5.0,2,64000.0
22,2,15.0,0,82464.0
28,1,8.0,0,60505.0
151,2,8.0,0,129000.0
151,0,30.0,0,130000.0
135,3,1.0,0,45312.0
151,0,3.0,0,85000.0
98,0,4.0,0,5256.0
151,2,6.0,0,90000.0
135,0,11.0,0,55224.0
151,0,8.0,0,112000.0
5,0,21.0,0,26664.0
28,1,0.5,0,31750.0
151,1,2.0,0,82500.0
151,0,3.0,0,110000.0
62,0,3.0,0,6981.0
49,0,6.0,0,21204.0
144,0,5.0,0,20712.0
66,1,22.0,0,151337.0
